id,tribuneTheaterId,providerTheaterId,name,address,city,state,zip,distance,lon,lat,theaterChainName,ticketType
1849,5634,,"Regal Ronkonkoma Stadium 9","565 Portion Road",Ronkonkoma,NY,11779,25.4,-73.093938,40.831322,"Regal Cinemas",STANDARD
1826,3088,,"Movieland of Coram","1850 Rt 112",Coram,NY,11727,22.06,-73.015008,40.890012,"Independent Chains",STANDARD
1179,2874,,"Sayville Theatre","103 Railroad Ave.",Sayville,NY,11782,25.12,-73.082889,40.737483,"Independent Chains",STANDARD
2076,8239,2140,"AMC Loews Stony Brook 17","2196 Nesconset Highway","Stony Brook",NY,11790,27.51,-73.126652,40.875348,"AMC Theatres",STANDARD
1175,6590,,"P.J. Cinemas","1068 Route 112","Port Jefferson Station",NY,11776,24.02,-73.0435,40.9216,"Independent Chains",STANDARD
4484,9583,,"Island Cinemas - Mastic","1708 Montauk Highway",Mastic,NY,11950,11.88,-72.837081,40.80569,"Independent Chains",STANDARD
4554,9692,,"Regal Deer Park Stadium 16 & IMAX","1050 Commack Road","Deer Park",NY,11729,34.08,-73.305787,40.765197,"Regal Cinemas",STANDARD
1174,6463,,"Elwood Cinema","1950 East Jericho Turnpike","East Northport",NY,11731,24.14,-73.330967,40.837642,"Independent Chains",STANDARD
1176,2935,,"South Bay Cinemas","495 W. Montauk Hwy","West Babylon",NY,11704,27.24,-73.338898,40.6889,"Independent Chains",STANDARD
321,6016,,"Farmingdale Multiplex Cinemas","1001 Broad Hollow Road",Farmingdale,NY,11735,30.05,-73.42154,40.738138,"National Amusements",STANDARD
175,7055,2162,"AMC Loews Shore 8","37 Wall St.",Huntington,NY,11743,29.16,-73.427811,40.872698,"AMC Theatres",STANDARD
1044,7587,,"UA Farmingdale Stadium 10","20 Michael Avenue",Farmingdale,NY,11735,30.48,-73.425788,40.727503,"United Artists",STANDARD
284,7478,,"Showcase Cinemas Bridgeport","286 Canfield Ave.",Bridgeport,CT,06605,29.7,-73.228002,41.160985,"National Amusements",STANDARD
283,7621,,"Fairfield Cinemas  Bullard Square","40 Blackrock Turnpike",Fairfield,CT,06824,29.6,-73.229249,41.162221,"National Amusements",STANDARD
4172,6012,,"Connecticut Post 14 + Imax","1201 Boston Post Road",Milford,CT,06460,34.32,-73.0387,41.2363,Cinemark,STANDARD
1863,5887,,"Bow Tie Cinemas Marquis 16 & BTX","100 Quarry Road",Trumbull,CT,06611,34.46,-73.184191,41.228564,"Bow-Tie Cinemas",STANDARD
1866,5883,,"Bow Tie Cinemas Royale 6","542 Westport Ave.",Norwalk,CT,06851,27.71,-73.384337,41.126864,"Bow-Tie Cinemas",STANDARD
3048,5981,,"Seaford Cinemas","3951 Merrick Road",Seaford,NY,11783,34.95,-73.4867,40.6661,"Your Neighborhood Theatre",STANDARD
153,8982,2141,"AMC Loews Nassau Metroplex 10","3585 Hempstead Tpke.",Levittown,NY,11756,34.53,-73.506059,40.726601,"AMC Theatres",STANDARD
2399,5884,,"Bow Tie Cinemas SONO Regent 8","64 North Main St.",Norwalk,CT,06854,28.82,-73.419536,41.100733,"Bow-Tie Cinemas",STANDARD
319,6014,,"Broadway Multiplex Cinemas","955 Broadway Mall",Hicksville,NY,11801,34.71,-73.533103,40.774269,"National Amusements",STANDARD
3915,1890,,"Criterion Cinemas","86 Temple Street","New Haven",CT,06510,30.88,-72.928497,41.30468,"Bow-Tie Cinemas",STANDARD
1172,3039,,"Five Star Theatres Bellmore Playhouse","525 Bedford Ave.",Bellmore,NY,11710,34,-73.527603,40.669998,"Independent Chains",STANDARD
